# command: paper/process_znamenskiy.py paper/znamenskiy_data/ori -o paper/znamenskiy_data/ori
1.114972063132600111e+00,4.548742962282523727e-01
6.792560964685010028e+00,5.222751271642078752e-01
1.304592019061569985e+01,2.588124936158630041e-01
1.734578891453979921e+01,1.788713279974777359e+00
1.754720800337809905e+01,7.345551292575142055e-01
2.295937121255510149e+01,1.014623774550306168e+00
2.379156746075030071e+01,3.596512729453201218e-01
2.734012423426980121e+01,3.209784308773118600e+00
3.127205497959939962e+01,1.857599697004439276e+00
3.217178899109129731e+01,2.493692838428904490e-01
3.798109888005689783e+01,2.626686400071884808e-01
4.199388561830760125e+01,1.397626637105176539e-01
4.409359019379130018e+01,6.136640239664074015e-01
4.409890653708699659e+01,1.884192142392954850e+00
4.414788379002450114e+01,1.509259291580476170e-01
5.147523223416929739e+01,3.275584497490581004e+00
5.290451691733949957e+01,6.901354272440979321e-01
5.419063232858660228e+01,1.829749769968650241e+00
5.560350522692470321e+01,2.315625646480582667e+00
5.744172250849889849e+01,4.701535280688423413e+00
5.983722307389749773e+01,1.156274941804204426e+00
6.059205291363870316e+01,1.904606846209283111e+00
6.298733120274739861e+01,8.271907788089282176e-01
6.303792041978540084e+01,6.091152393439269730e-01
6.340709090529539793e+01,1.020292313476675705e+00
6.455242544715800079e+01,6.386030326884518660e-01
6.734863151078340593e+01,4.312495758090985731e+00
6.994271567349369434e+01,1.114161066805102296e+00
7.124340306716099747e+01,5.158363495656049791e-01
7.259646149381970304e+01,4.431605281717414968e+00
7.519283196694159699e+01,5.247281194248751390e+00
7.734359124187280088e+01,1.858440607036693226e+00
7.825084463907060695e+01,1.953780477147445127e-01
7.892459800680269666e+01,2.959247882268482233e+00
8.184242639860259771e+01,5.641000056606645385e-01
8.230129643410600693e+01,1.887934993333475475e-01
8.489341226505470672e+01,3.271938728841864652e+00
8.539785032038699342e+01,1.955821751442930356e+00
8.651611277945740142e+01,1.404573975532660057e+00
8.823266577033290048e+01,1.453695741636744421e+00
