# command: paper/process_rossi.py paper/rossi_data -o paper/rossi_data
1.250000000000000000e+01,9.356744529062185900e-02
3.750000000000000000e+01,8.878432529462236544e-02
6.250000000000000000e+01,7.536051131210756704e-02
8.750000000000000000e+01,6.274881731376831528e-02
1.125000000000000000e+02,4.952541488456257274e-02
1.375000000000000000e+02,4.129435560538668309e-02
1.625000000000000000e+02,3.241566902958135932e-02
1.875000000000000000e+02,1.913269030438584720e-02
2.125000000000000000e+02,1.512422322078103669e-02
2.375000000000000000e+02,9.340281901005045503e-03
2.625000000000000000e+02,5.968499938006244232e-03
2.875000000000000000e+02,3.913831284863528159e-03
3.125000000000000000e+02,1.326442702393548865e-03
3.375000000000000000e+02,6.009639518889990867e-04
3.625000000000000000e+02,6.631012620101799700e-04
3.875000000000000000e+02,1.167133520074694161e-04
4.125000000000000000e+02,1.167133520074694161e-04
4.375000000000000000e+02,0.000000000000000000e+00
4.625000000000000000e+02,0.000000000000000000e+00
4.875000000000000000e+02,0.000000000000000000e+00
