# command: paper/process_rossi.py paper/rossi_data -o paper/rossi_data
1.250000000000000000e+01,7.220495079928181126e-02
3.750000000000000000e+01,6.726056109162463492e-02
6.250000000000000000e+01,5.979699516724699959e-02
8.750000000000000000e+01,5.424973972988062637e-02
1.125000000000000000e+02,5.194890969553647708e-02
1.375000000000000000e+02,4.487737742032626986e-02
1.625000000000000000e+02,3.850803118051164542e-02
1.875000000000000000e+02,2.865901589834703861e-02
2.125000000000000000e+02,2.447053225417485101e-02
2.375000000000000000e+02,1.869730888232288418e-02
2.625000000000000000e+02,1.381696122347291812e-02
2.875000000000000000e+02,9.140850565907366818e-03
3.125000000000000000e+02,6.043318332534771201e-03
3.375000000000000000e+02,4.242637710853855437e-03
3.625000000000000000e+02,2.903081202866791138e-03
3.875000000000000000e+02,1.741185856333173337e-03
4.125000000000000000e+02,7.128124708019380759e-04
4.375000000000000000e+02,5.396859020727138700e-04
4.625000000000000000e+02,8.392043289662629729e-05
4.875000000000000000e+02,1.021241830065358831e-04
