1.250000000000000000e+01,1.000000000000000000e+00,5.229125300945723920e-01,1.759678788202068578e+00
3.750000000000000000e+01,7.272727272727271819e-01,4.790023263721940316e-01,1.071051923451476595e+00
6.250000000000000000e+01,7.090909090909088830e-01,5.181701837171985847e-01,9.522330406307185635e-01
8.750000000000000000e+01,6.233766233766233622e-01,4.722045871045329468e-01,8.101622805341683886e-01
1.125000000000000000e+02,4.747474747474748069e-01,3.570173048423620488e-01,6.151876331282981614e-01
1.375000000000000000e+02,3.471074380165287687e-01,2.593557278908153463e-01,4.578290258286579761e-01
1.625000000000000000e+02,2.797202797202797964e-01,2.052174218269914030e-01,3.732964299986544776e-01
1.875000000000000000e+02,1.939393939393939115e-01,1.373669429984767099e-01,2.689192276987639185e-01
2.125000000000000000e+02,1.657754010695187963e-01,1.168935887392687778e-01,2.318737189276589561e-01
2.375000000000000000e+02,9.090909090909086998e-02,5.641217804266820263e-02,1.404119214915033609e-01
2.625000000000000000e+02,3.896103896103895320e-02,1.947512516426637072e-02,7.293214678355297576e-02
2.875000000000000000e+02,5.138339920948613304e-02,2.881140996787909941e-02,8.639960997258545883e-02
3.125000000000000000e+02,1.090909090909090995e-02,2.978308464518064462e-03,3.200221077943028736e-02
3.375000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.280157057923135382e-02
3.625000000000000000e+02,3.134796238244514852e-03,1.607826034884091409e-04,1.815467898029796481e-02
3.875000000000000000e+02,2.932551319648092104e-03,1.504095322956084454e-04,1.698340936866582496e-02
4.125000000000000000e+02,2.754820936639119835e-03,1.412938030655717144e-04,1.595411183117094109e-02
4.375000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.875497303978476513e-03
4.625000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.341686638898543532e-03
