# command: paper/get_product.py paper/rossi_data/EI.csv paper/znamenskiy_data/IE.csv -o paper/product_data/IE.csv
1.250000000000000000e+01,1.873075965570078216e-01
3.750000000000000000e+01,9.270449551408069255e-02
6.250000000000000000e+01,8.108445642457370872e-02
8.750000000000000000e+01,6.366644187146321132e-02
1.125000000000000000e+02,5.024966338634479640e-02
1.375000000000000000e+02,4.189823495196003111e-02
1.625000000000000000e+02,3.288970846536729692e-02
1.875000000000000000e+02,1.941248245393801392e-02
2.125000000000000000e+02,1.534539645141024325e-02
2.375000000000000000e+02,9.476872077761648583e-03
2.625000000000000000e+02,6.055781935503164182e-03
2.875000000000000000e+02,3.971066271201307597e-03
3.125000000000000000e+02,1.345840301427251055e-03
3.375000000000000000e+02,6.097523132342848361e-04
3.625000000000000000e+02,6.727983053698403677e-04
3.875000000000000000e+02,1.184201417542371678e-04
4.125000000000000000e+02,1.184201417542371678e-04
4.375000000000000000e+02,0.000000000000000000e+00
4.625000000000000000e+02,0.000000000000000000e+00
4.875000000000000000e+02,0.000000000000000000e+00
