# command: paper/get_product.py paper/rossi_data/EI.csv paper/znamenskiy_data/EI.csv -o paper/product_data/EI.csv
1.250000000000000000e+01,1.032690371848721533e-01
3.750000000000000000e+01,6.986387945006897193e-02
6.250000000000000000e+01,4.211726775523893379e-02
8.750000000000000000e+01,1.996340078397436379e-02
1.125000000000000000e+02,1.572161278434552889e-02
1.375000000000000000e+02,1.310870127025068853e-02
1.625000000000000000e+02,1.029020348070691301e-02
1.875000000000000000e+02,6.073583617410882422e-03
2.125000000000000000e+02,4.801114371184067413e-03
2.375000000000000000e+02,2.965029080251168226e-03
2.625000000000000000e+02,1.894672566548722455e-03
2.875000000000000000e+02,1.242427551738932044e-03
3.125000000000000000e+02,4.210730711950590155e-04
3.375000000000000000e+02,1.907732135302908454e-04
3.625000000000000000e+02,2.104984138433629696e-04
3.875000000000000000e+02,3.705011116618448592e-05
4.125000000000000000e+02,3.705011116618448592e-05
4.375000000000000000e+02,0.000000000000000000e+00
4.625000000000000000e+02,0.000000000000000000e+00
4.875000000000000000e+02,0.000000000000000000e+00
